trial angleIni direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same duration radius angleLandmark durationRampingLand freq size response responseTime
171 253 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 0.0 120.0 2.5 3.0 3470.5 3.58373999596
172 130 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 45.0 120.0 2.5 3.0 -2952.5 3.42743802071
173 239 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 90.0 120.0 2.25 3.0 3283.25 3.76544094086
174 306 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 225.0 120.0 3.0 3.0 -2871.0 2.95014095306
175 243 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 315.0 120.0 3.0 3.0 3078.0 2.63273906708
176 211 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 135.0 120.0 3.5 3.0 3718.0 2.79066514969
177 313 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 0.0 120.0 1.0 3.0 -683.0 2.7743229866
178 28 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 225.0 120.0 0.75 3.0 907.75 3.2661151886
179 320 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 270.0 120.0 3.5 3.0 3396.5 2.44896817207
180 139 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 45.0 120.0 3.25 3.0 -3741.5 3.32331705093
181 0 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 180.0 120.0 3.5 3.0 -3549.0 2.82426595688
182 209 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 315.0 120.0 0.75 3.0 989.75 2.9001698494
183 341 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 270.0 120.0 2.5 3.0 3176.0 3.1577091217
184 54 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 225.0 120.0 2.75 3.0 2850.75 2.83336901665
185 155 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 315.0 120.0 3.25 3.0 3528.5 2.89171385765
186 174 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 90.0 120.0 1.0 3.0 1491.0 3.66607499123
187 124 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 270.0 120.0 2.25 3.0 -3298.25 4.23261809349
188 85 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 180.0 120.0 3.0 3.0 4477.0 4.07424497604
189 64 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 180.0 120.0 1.5 3.0 -2348.0 4.47529697418
190 142 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 90.0 120.0 2.5 3.0 -2363.0 2.78413009644
191 252 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 225.0 120.0 2.5 3.0 3679.5 3.81537103653
192 343 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 225.0 120.0 1.75 3.0 -1862.0 3.5086171627
193 279 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 135.0 120.0 1.75 3.0 -1962.75 3.56569981575
194 117 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 45.0 120.0 1.0 3.0 1428.0 3.65029096603
195 276 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 315.0 120.0 2.75 3.0 3708.0 3.47514295578
196 55 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 270.0 120.0 3.0 3.0 -3257.0 3.07450890541
197 209 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 180.0 120.0 1.75 3.0 -1912.0 3.37496900558
